extension(um),extension/L,force(pN),Lpeff(nm)
0.0282,0.00712481,0.000879929,50
0.02825,0.00713744,0.000881491,50
0.0283,0.00715008,0.000883053,50
0.02835,0.00716271,0.000884614,50
0.0284,0.00717534,0.000886176,50
0.02845,0.00718797,0.000887738,50
0.0285,0.00720061,0.0008893,50
0.02855,0.00721324,0.000890861,50
0.0286,0.00722587,0.000892423,50
0.02865,0.0072385,0.000893985,50
0.0287,0.00725114,0.000895547,50
0.02875,0.00726377,0.000897109,50
0.0288,0.0072764,0.00089867,50
0.02885,0.00728903,0.000900232,50
0.0289,0.00730167,0.000901794,50
0.02895,0.0073143,0.000903356,50
0.029,0.00732693,0.000904918,50
0.02905,0.00733957,0.000906479,50
0.0291,0.0073522,0.000908041,50
0.02915,0.00736483,0.000909603,50
0.0292,0.00737746,0.000911165,50
0.02925,0.0073901,0.000912727,50
0.0293,0.00740273,0.000914288,50
0.02935,0.00741536,0.00091585,50
0.0294,0.00742799,0.000917412,50
0.02945,0.00744063,0.000918974,50
0.0295,0.00745326,0.000920536,50
0.02955,0.00746589,0.000922098,50
0.0296,0.00747852,0.00092366,50
0.02965,0.00749116,0.000925221,50
0.0297,0.00750379,0.000926783,50
0.02975,0.00751642,0.000928345,50
0.0298,0.00752906,0.000929907,50
0.02985,0.00754169,0.000931469,50
0.0299,0.00755432,0.000933031,50
0.02995,0.00756695,0.000934593,50
0.03,0.00757959,0.000936155,50
0.03005,0.00759222,0.000937717,50
0.0301,0.00760485,0.000939279,50
0.03015,0.00761748,0.00094084,50
0.0302,0.00763012,0.000942402,50
0.03025,0.00764275,0.000943964,50
0.0303,0.00765538,0.000945526,50
0.03035,0.00766801,0.000947088,50
0.0304,0.00768065,0.00094865,50
0.03045,0.00769328,0.000950212,50
0.0305,0.00770591,0.000951774,50
0.03055,0.00771854,0.000953336,50
0.0306,0.00773118,0.000954898,50
0.03065,0.00774381,0.00095646,50
0.0307,0.00775644,0.000958022,50
0.03075,0.00776908,0.000959584,50
0.0308,0.00778171,0.000961146,50
0.03085,0.00779434,0.000962708,50
0.0309,0.00780697,0.00096427,50
0.03095,0.00781961,0.000965832,50
0.031,0.00783224,0.000967394,50
0.03105,0.00784487,0.000968956,50
0.0311,0.0078575,0.000970518,50
0.03115,0.00787014,0.00097208,50
0.0312,0.00788277,0.000973642,50
0.03125,0.0078954,0.000975204,50
0.0313,0.00790803,0.000976766,50
0.03135,0.00792067,0.000978328,50
0.0314,0.0079333,0.00097989,50
0.03145,0.00794593,0.000981452,50
0.0315,0.00795856,0.000983014,50
0.03155,0.0079712,0.000984577,50
0.0316,0.00798383,0.000986139,50
0.03165,0.00799646,0.000987701,50
0.0317,0.0080091,0.000989263,50
0.03175,0.00802173,0.000990825,50
0.0318,0.00803436,0.000992387,50
0.03185,0.00804699,0.000993949,50
0.0319,0.00805963,0.000995511,50
0.03195,0.00807226,0.000997073,50
0.032,0.00808489,0.000998635,50
0.03205,0.00809752,0.0010002,50
0.0321,0.00811016,0.00100176,50
0.03215,0.00812279,0.00100332,50
0.0322,0.00813542,0.00100488,50
0.03225,0.00814805,0.00100645,50
0.0323,0.00816069,0.00100801,50
0.03235,0.00817332,0.00100957,50
0.0324,0.00818595,0.00101113,50
0.03245,0.00819859,0.00101269,50
0.0325,0.00821122,0.00101426,50
0.03255,0.00822385,0.00101582,50
0.0326,0.00823648,0.00101738,50
0.03265,0.00824912,0.00101894,50
0.0327,0.00826175,0.00102051,50
0.03275,0.00827438,0.00102207,50
0.0328,0.00828701,0.00102363,50
0.03285,0.00829965,0.00102519,50
0.0329,0.00831228,0.00102675,50
0.03295,0.00832491,0.00102832,50
0.033,0.00833754,0.00102988,50
0.03305,0.00835018,0.00103144,50
0.0331,0.00836281,0.001033,50
0.03315,0.00837544,0.00103457,50
0.0332,0.00838807,0.00103613,50
0.03325,0.00840071,0.00103769,50
0.0333,0.00841334,0.00103925,50
0.03335,0.00842597,0.00104081,50
0.0334,0.00843861,0.00104238,50
0.03345,0.00845124,0.00104394,50
0.0335,0.00846387,0.0010455,50
0.03355,0.0084765,0.00104706,50
0.0336,0.00848914,0.00104863,50
0.03365,0.00850177,0.00105019,50
0.0337,0.0085144,0.00105175,50
0.03375,0.00852703,0.00105331,50
0.0338,0.00853967,0.00105488,50
0.03385,0.0085523,0.00105644,50
0.0339,0.00856493,0.001058,50
0.03395,0.00857756,0.00105956,50
0.034,0.0085902,0.00106112,50
0.03405,0.00860283,0.00106269,50
0.0341,0.00861546,0.00106425,50
0.03415,0.00862809,0.00106581,50
0.0342,0.00864073,0.00106737,50
0.03425,0.00865336,0.00106894,50
0.0343,0.00866599,0.0010705,50
0.03435,0.00867863,0.00107206,50
0.0344,0.00869126,0.00107362,50
0.03445,0.00870389,0.00107519,50
0.0345,0.00871652,0.00107675,50
0.03455,0.00872916,0.00107831,50
0.0346,0.00874179,0.00107987,50
0.03465,0.00875442,0.00108144,50
0.0347,0.00876705,0.001083,50
0.03475,0.00877969,0.00108456,50
0.0348,0.00879232,0.00108612,50
0.03485,0.00880495,0.00108768,50
0.0349,0.00881758,0.00108925,50
0.03495,0.00883022,0.00109081,50
0.035,0.00884285,0.00109237,50
0.03505,0.00885548,0.00109393,50
0.0351,0.00886812,0.0010955,50
0.03515,0.00888075,0.00109706,50
0.0352,0.00889338,0.00109862,50
0.03525,0.00890601,0.00110018,50
0.0353,0.00891865,0.00110175,50
0.03535,0.00893128,0.00110331,50
0.0354,0.00894391,0.00110487,50
0.03545,0.00895654,0.00110643,50
0.0355,0.00896918,0.001108,50
0.03555,0.00898181,0.00110956,50
0.0356,0.00899444,0.00111112,50
0.03565,0.00900707,0.00111268,50
0.0357,0.00901971,0.00111425,50
0.03575,0.00903234,0.00111581,50
0.0358,0.00904497,0.00111737,50
0.03585,0.0090576,0.00111893,50
0.0359,0.00907024,0.0011205,50
0.03595,0.00908287,0.00112206,50
0.036,0.0090955,0.00112362,50
0.03605,0.00910814,0.00112518,50
0.0361,0.00912077,0.00112675,50
0.03615,0.0091334,0.00112831,50
0.0362,0.00914603,0.00112987,50
